country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Afghanistan,64385715,148430,46242,10741,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15,33,23,5
Akrotiri and Dhekelia,23448,336,238,42,1,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,0,1,0
Albania,2873537,534848,428833,16472,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947,940,1371,1778
Algeria,230804377,895576,472785,89152,2427,2305,3019,3311,3401,4199,4160,6392,8507,2135,7192,8961,5045,6993,4267,6004,37696,4295,4620,9831,15636,10492
Andorra,45196,16889,16179,120,2,1,0,20,2,7,2,5,3,1,1,8,3,1,2,0,3,14,7,26,2,14
Angola,124742298,31917530,29980806,1224126,76820,43061,35582,43422,53063,48241,88808,56013,92730,111802,100568,113042,99292,135584,102506,137072,159388,146256,101978,133793,190583,158427
Anguilla,8332,1372,686,70,2,0,0,5,2,0,5,7,1,0,1,1,1,0,0,0,1,0,0,0,1,0
Antigua and Barbuda,43576,17271,16351,362,23,17,16,25,59,58,36,43,59,18,25,32,20,23,9,14,69,157,23,15,35,35
Argentina,278010122,23116356,23907653,1107735,102144,73470,132020,248387,228611,210531,247500,396089,206806,297486,355899,347089,253702,155456,119321,143415,159830,112695,98278,133587,136385,163232
Armenia,2969009,294622,177146,12256,122,164,387,73,98,121,48,103,188,150,167,184,35,35,2,29,23,5,1,18,4,8
Aruba,18198,16,8,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,768791340,25719710,24451140,1600600,67023,84679,151950,94286,96246,114450,181580,127334,168109,87901,86676,88031,181744,192619,149473,305288,175039,155010,1227182,1951339,197488,80012
Austria,8385802,4114725,4008210,36317,6828,10753,14270,14412,21411,12468,31317,26662,15748,16521,17949,11034,7470,9654,7841,16985,18141,25993,33173,25633,16435,19541
Azerbaijan,8623533,1113390,873912,30270,488,1065,983,491,206,466,455,435,322,468,126,526,131,299,26,24,79,75,10,21,69,143
Bahamas,1338763,256960,264112,6316,411,667,257,542,1395,847,545,1881,741,381,603,342,1464,698,957,2909,3054,805,1315,2328,1340,487
Bahrain,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,13938437,1522871,1504904,317862,4507,3866,2087,4077,3197,6557,3762,4242,5355,4420,3976,5102,5482,11039,11338,19238,25939,17501,20410,19775,16073,12572
Barbados,43466,4619,4960,377,8,9,2,7,7,2,27,11,11,15,17,112,5,2,2,14,15,22,52,20,15,5
Belarus,20706912,8384058,8482951,963616,17702,24310,31052,37532,35389,41383,32007,35319,34896,35298,44825,39066,27279,32760,32732,85982,75113,82879,72072,66645,61782,63187
Belgium,3070744,778290,778429,41687,927,2310,1843,4678,2938,6802,5885,7093,5082,10743,4958,5583,3261,4160,3344,4359,3971,4446,5348,5224,8917,4652
Belize,2198946,1710654,1663792,18602,8120,13246,6766,4251,8028,4222,12142,8160,10206,9722,26288,11478,16287,16306,12158,20366,16036,10996,17956,26381,9159,8048
Benin,11542318,9000,14047,181408,1882,924,805,115,249,318,844,81,803,99,95,522,29,23,8,59,37,18,6,16,15,15
Bermuda,6808,437,592,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Bhutan,3876296,2366473,2116634,28221,276,206,472,921,706,563,468,717,1098,3857,958,691,406,1093,631,1689,1691,1028,697,1098,1049,1073
Bolivia,108339285,57489600,56624124,617222,133411,170042,158708,190346,238167,206660,184564,348141,212937,436578,316823,260861,164472,240758,152102,439062,433995,279213,793740,408102,524932,561236
"Bonaire, Sint Eustatius and Saba",32366,1759,2052,270,3,2,16,0,1,7,1,1,1,2,9,3,3,1,0,0,0,0,2,10,0,0
Bosnia and Herzegovina,5106883,2477204,2353158,53276,1418,622,281,3875,549,502,2293,1406,1221,873,915,2178,2397,1729,552,2213,1206,2504,1180,1735,942,1879
Botswana,57788401,1278,228,13303,29,1,1,2,1,3,4,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Brazil,850035650,475688332,453286661,8062336,2511772,3259112,2971953,3554955,3271827,2644935,2370608,2211986,1608447,2411940,1720221,2579923,1712477,2368690,1955191,4980661,4188994,2688477,2466243,3026629,2713081,2997702
British Virgin Islands,16932,6856,6447,24,4,3,2,3,4,2,6,7,5,4,15,1,2,0,0,3,228,6,1,0,4,2
Brunei,577779,523736,522184,7532,1229,1080,791,1189,1270,1003,1546,1291,2160,961,2609,1823,875,2166,1688,2475,919,783,1120,1121,936,901
Bulgaria,11158731,3858690,3539261,106351,7848,4458,5068,7980,6462,5037,9307,6264,6006,3528,3259,9769,3566,6487,7064,7102,7210,9342,3950,4549,6436,3850
